time,target_spd,cur_spd,APS,BPS,signal,action,error,bonus
0.0,0.0,0.0,3.152857142857143,0.0,3.152857142857143,0.3152857142857143,0.0,2
0.1,0.02,0.0,8.57311111111111,0.0,8.57311111111111,0.542,0.018,2
0.2,0.16,0.0,15.001000000000003,0.0,15.001000000000003,0.6428,0.16,2
0.3,0.36,0.06,15.263000000000002,0.0,15.263000000000002,0.0262,0.298,2
0.4,0.8,0.47,15.795909090909088,0.0,15.795909090909088,0.0533,0.328,2
0.5,1.29,0.76,16.21333333333333,0.0,16.21333333333333,0.0417,0.532,2
0.6,1.79,1.24,16.535,0.0,16.535,0.0322,0.55,2
0.7,2.41,1.67,16.535,0.0,16.535,0.0,0.746,2
0.8,3.06,2.22,16.535,0.0,16.535,0.0,0.838,2
0.9,3.7,2.71,16.535,0.0,16.535,0.0,0.991,2
1.0,4.33,3.18,16.535,0.0,16.535,0.0,1.152,2
1.1,4.83,3.63,16.535,0.0,16.535,0.0,1.199,2
1.2,5.31,4.16,16.965272727272726,0.0,16.965272727272726,0.043,1.151,2
1.3,5.79,4.66,17.22,0.0,17.22,0.025500000000000002,1.134,2
1.4,6.28,5.13,17.22,0.0,17.22,0.0,1.147,2
1.5,6.76,5.61,17.22,0.0,17.22,0.0,1.146,2
1.6,7.24,6.1,17.22,0.0,17.22,0.0,1.14,2
1.7,7.7,6.6,17.22,0.0,17.22,0.0,1.107,2
1.8,8.07,7.07,17.22,0.0,17.22,0.0,1.003,2
1.9,8.53,7.57,17.22,0.0,17.22,0.0,0.964,2
2.0,9.01,8.04,17.22,0.0,17.22,0.0,0.968,2
2.1,9.5,8.53,17.22,0.0,17.22,0.0,0.965,2
2.2,9.96,9.01,17.22,0.0,17.22,0.0,0.951,2
2.3,10.32,9.47,17.22,0.0,17.22,0.0,0.848,2
2.4,10.78,9.96,17.22,0.0,17.22,0.0,0.821,2
2.5,11.25,10.44,17.22,0.0,17.22,0.0,0.808,2
2.6,11.61,10.91,17.22,0.0,17.22,0.0,0.7,2
2.7,12.07,11.36,17.272888888888886,0.0,17.272888888888886,0.0053,0.707,2
2.8,12.53,11.75,17.905,0.0,17.905,0.0632,0.779,2
2.9,12.89,12.16,17.905,0.0,17.905,0.0,0.727,2
3.0,13.36,12.64,17.95109090909091,0.0,17.95109090909091,0.0046,0.722,2
3.1,13.84,13.14,19.94511111111111,0.0,19.94511111111111,0.1994,0.7,2
3.2,14.3,13.62,23.685000000000002,0.0,23.685000000000002,0.374,0.679,2
3.3,14.67,14.2,26.560777777777776,0.0,26.560777777777776,0.28759999999999997,0.468,2
