time,target_spd,cur_spd,APS,BPS,signal,action,error,bonus
0,0,0,8.768285714,0,8.768285714,0.876828571,0,2
0.1,0.02,0,16.40655556,0,16.40655556,0.7638,0.018,2
0.2,0.16,0,17.122,0,17.122,0.0715,0.16,2
0.3,0.36,0.11,17.122,0,17.122,0,0.241,2
0.4,0.8,0.89,17.122,0,17.122,0,-0.09,2
0.5,1.29,1.08,17.122,0,17.122,0,0.212,2
0.6,1.79,1.44,17.122,0,17.122,0,0.354,2
0.7,2.41,1.87,17.122,0,17.122,0,0.541,2
0.8,3.06,2.48,17.122,0,17.122,0,0.582,2
0.9,3.7,3.06,17.122,0,17.122,0,0.644,2
1,4.33,3.56,17.122,0,17.122,0,0.769,2
1.1,4.83,4.12,16.95433333,0,16.95433333,-0.0168,0.711,2
1.2,5.31,4.61,15.62163636,0,15.62163636,-0.1333,0.696,2
1.3,5.79,5.06,15.165,0,15.165,-0.0457,0.731,2
1.4,6.28,5.52,15.165,0,15.165,0,0.757,2
1.5,6.76,6.01,15.165,0,15.165,0,0.746,2
1.6,7.24,6.49,15.165,0,15.165,0,0.748,2
1.7,7.7,6.95,15.165,0,15.165,0,0.753,2
1.8,8.07,7.42,15.165,0,15.165,0,0.655,2
1.9,8.53,7.86,15.165,0,15.165,0,0.667,2
2,9.01,8.29,15.66418182,0,15.66418182,0.0499,0.723,2
2.1,9.5,8.82,16.14477778,0,16.14477778,0.0481,0.675,2
2.2,9.96,9.27,16.88245455,0,16.88245455,0.0738,0.689,2
2.3,10.32,9.75,17.122,0,17.122,0.024,0.572,2
2.4,10.78,10.22,17.122,0,17.122,0,0.557,2
2.5,11.25,10.69,17.122,0,17.122,0,0.565,2
2.6,11.61,11.15,17.122,0,17.122,0,0.458,2
2.7,12.07,11.61,17.122,0,17.122,0,0.462,2
2.8,12.53,11.96,17.122,0,17.122,0,0.571,2
2.9,12.89,12.29,17.122,0,17.122,0,0.597,2
3,13.36,12.82,17.122,0,17.122,0,0.541,2
3.1,13.84,13.33,17.86688889,0,17.86688889,0.0745,0.507,2
3.2,14.3,13.71,23.96945455,0,23.96945455,0.6103,0.59,2
3.3,14.67,14.29,26.025,0,26.025,0.2056,0.376,2
3.4,15.13,14.97,26.025,0,26.025,0,0.162,2
3.5,15.61,15.37,26.025,0,26.025,0,0.239,2
3.6,16.09,15.86,25.63545455,0,25.63545455,-0.039,0.231,2
3.7,16.58,16.55,20.81466667,0,20.81466667,-0.4821,0.033,2
3.8,17.06,16.98,18.883,0,18.883,-0.1932,0.08,2
3.9,17.54,17.32,18.883,0,18.883,0,0.223,2
4,18.02,17.88,18.883,0,18.883,0,0.137,2
4.1,18.51,18.39,18.883,0,18.883,0,0.12,2
4.2,18.99,18.77,19.04954545,0,19.04954545,0.0167,0.223,2
4.3,19.45,19.16,20.02344444,0,20.02344444,0.0974,0.294,2
4.4,19.81,19.59,23.04781818,0,23.04781818,0.3024,0.223,2
4.5,20.28,20.03,25.221,0,25.221,0.2173,0.245,2
4.6,20.76,20.5,25.438,0,25.438,0.0217,0.262,2
4.7,21.24,20.92,25.438,0,25.438,0,0.32,2
4.8,21.71,21.38,25.438,0,25.438,0,0.326,2
4.9,22.07,21.88,25.438,0,25.438,0,0.192,2
5,22.53,22.47,25.438,0,25.438,0,0.056,2
5.1,23.01,22.96,25.70833333,0,25.70833333,0.027,0.056,2
5.2,23.5,23.39,26.025,0,26.025,0.0317,0.111,2
5.3,23.98,23.91,26.025,0,26.025,0,0.07,2
5.4,24.46,24.42,26.025,0,26.025,0,0.038,2
5.5,24.92,24.87,25.09244444,0,25.09244444,-0.0933,0.054,2
5.6,25.29,25.29,21.66854545,0,21.66854545,-0.3424,-0.003,2
5.7,25.75,25.68,20.08066667,0,20.08066667,-0.1588,0.073,2
5.8,26.21,26.09,17.82327273,0,17.82327273,-0.2257,0.122,2
5.9,26.55,26.42,15.88466667,0,15.88466667,-0.1939,0.135,2
6,26.88,26.71,14.22490909,0,14.22490909,-0.166,0.171,2
6.1,27.18,27.03,13.698,0,13.698,-0.0527,0.154,2
6.2,27.36,27.34,13.37718182,0,13.37718182,-0.0321,0.019,2
6.3,27.52,27.59,12.98611111,0,12.98611111,-0.0391,-0.068,2
6.4,27.66,27.79,10.93018182,0,10.93018182,-0.2056,-0.133,2
6.5,27.68,27.92,9.938222222,0,9.938222222,-0.0992,-0.24,2
6.6,27.68,28.09,8.859090909,0,8.859090909,-0.1079,-0.408,2
6.7,27.68,28.23,8.718888889,0,8.718888889,-0.014,-0.55,2
6.8,27.68,28.34,8.121,0,8.121,-0.0598,-0.658,2
6.9,27.68,28.43,8.121,0,8.121,0,-0.754,2
7,27.7,28.5,8.121,0,8.121,0,-0.8,2
7.1,27.82,28.57,8.121,0,8.121,0,-0.746,2
7.2,27.86,28.66,8.121,0,8.121,0,-0.794,2
7.3,27.98,28.74,8.121,0,8.121,0,-0.757,2
7.4,28.02,28.84,8.121,0,8.121,0,-0.813,2
7.5,28.14,28.89,8.512777778,0,8.512777778,0.0392,-0.75,2
7.6,28.18,28.97,8.876181818,0,8.876181818,0.0363,-0.787,2
7.7,28.32,29.08,11.72555556,0,11.72555556,0.2849,-0.758,2
7.8,28.49,29.23,17.00581818,0,17.00581818,0.528,-0.74,2
7.9,28.65,29.4,18.003,0,18.003,0.0997,-0.752,2
8,28.83,29.68,18.33081818,0,18.33081818,0.0328,-0.852,2
8.1,29.13,29.92,18.59,0,18.59,0.0259,-0.793,2
8.2,29.45,30.15,18.59,0,18.59,0,-0.702,2
8.3,29.79,30.4,18.82822222,0,18.82822222,0.0238,-0.616,2
8.4,30.26,30.74,19.274,0,19.274,0.0446,-0.481,2
8.5,30.74,31.04,19.274,0,19.274,0,-0.305,2
8.6,31.22,31.34,19.274,0,19.274,0,-0.121,2
8.7,31.7,31.65,19.274,0,19.274,0,0.054,2
8.8,32.17,31.94,19.274,0,19.274,0,0.229,2
8.9,32.53,32.25,19.274,0,19.274,0,0.277,2
9,32.97,32.56,19.274,0,19.274,0,0.404,2
9.1,33.31,32.84,19.274,0,19.274,0,0.468,2
9.2,33.62,33.13,19.274,0,19.274,0,0.483,2
9.3,33.8,33.43,19.274,0,19.274,0,0.372,2
9.4,33.96,33.69,18.83127273,0,18.83127273,-0.0443,0.275,2
9.5,34.12,33.92,17.05911111,0,17.05911111,-0.1772,0.199,2
9.6,34.28,34.07,15.27445455,0,15.27445455,-0.1785,0.205,2
9.7,34.44,34.29,13.15533333,0,13.15533333,-0.2119,0.153,2
9.8,34.58,34.46,12.719,0,12.719,-0.0436,0.117,2
9.9,34.62,34.55,12.719,0,12.719,0,0.071,2
10,34.76,34.84,12.719,0,12.719,0,-0.078,2
10.1,34.92,35.12,12.719,0,12.719,0,-0.195,2
10.2,35.08,35.15,12.719,0,12.719,0,-0.071,2
10.3,35.22,35.26,12.64422222,0,12.64422222,-0.0075,-0.042,2
10.4,35.26,35.39,12.132,0,12.132,-0.0512,-0.128,2
10.5,35.41,35.52,12.132,0,12.132,0,-0.11,2
